partition_id,quant_bits,coder_channels,en_stride,map50,loss
3,1,1,2,0.06820803562322889,0.0849636122584343
5,2,4,1,0.7528566502601096,0.0406724251806736
5,4,64,9,0.6519935595231443,0.0456862598657608
3,-1,32,1,0.741087126089967,0.04725206270813942
5,1,4,5,0.6623487653056626,0.043592821806669235
5,4,32,5,0.6678292190141597,0.04516305401921272
7,1,8,5,0.9142412365425254,0.02636965736746788
5,8,32,1,0.8016781076011287,0.03963519260287285
3,2,1,3,0.14469043825254815,0.08302433043718338
3,-1,8,2,0.68794405678245,0.05165160819888115
1,-1,4,9,0.3701039550452899,0.07272149622440338
5,2,16,6,0.6837516489598602,0.04428102448582649
1,8,1,7,0.29567443660880915,0.07565183937549591
5,1,2,2,0.7313733468289637,0.04156007617712021
7,8,64,1,0.9063886325938617,0.027742143720388412
